index,Style,Stock,,,,,,,
19320,J0347,82.00,,,,,,,
19321,JNE3488,19.00,,,,,,,
19322,JNE3472,33.00,,,,,,,
19323,J0101,86.00,,,,,,,
19324,SET316,113.00,,,,,,,
19325,J0003,90.00,,,,,,,
19326,SET328,302.00,,,,,,,
19327,SET384,406.00,,,,,,,
19328,SET303,235.00,,,,,,,
19329,J0369,137.00,,,,,,,
19330,SET386,126.00,,,,,,,
19331,JNE3791,320.00,,,,,,,
19332,J0159,63.00,,,,,,,
19333,J0293,27.00,,,,,,,
19334,J0298,22.00,,,,,,,
19335,SAR086,0.00,,,,,,,
19336,SAR079,0.00,,,,,,,
19337,SAR043,32.00,,,,,,,
19338,SAR044,87.00,,,,,,,
19339,SAR045,21.00,,,,,,,
19340,SAR046,105.00,,,,,,,
19341,SAR033,5.00,,,,,,,
19342,NW003,162.00,,,,,,,
19343,NW012,158.00,,,,,,,
19344,BL111,38.00,,,,,,,
19345,BL110,54.00,,,,,,,
19346,BL086,22.00,,,,,,,
19347,BL113,76.00,,,,,,,
19348,JNE3690,59.00,,,,,,,
19349,PJNE3440,11.00,,,,,,,
19350,PJ0096,12.00,,,,,,,
19351,JNE3769,126.00,,,,,,,
19352,J0086,1.00,,,,,,,
19353,J0252,41.00,,,,,,,
19354,JNE3510,64.00,,,,,,,
19355,BTM037,65.00,,,,,,,
19356,J0089,43.00,,,,,,,
19357,J0087,271.00,,,,,,,
19358,J0085,62.00,,,,,,,
19359,PJNE3423,9.00,,,,,,,
19360,PJNE3252,581.00,,,,,,,
19361,PJNE2014,23.00,,,,,,,
19362,PJNE3405,9.00,,,,,,,
19363,PJNE3404,15.00,,,,,,,
19364,PJNE3421,99.00,,,,,,,
19365,J0105,107.00,,,,,,,
19366,J0235,338.00,,,,,,,
19367,J0280,280.00,,,,,,,
19368,PJNE3568,34.00,,,,,,,
19369,PJNE3445,96.00,,,,,,,
19370,PJNE3439,11.00,,,,,,,
19371,PJNE2270,20.00,,,,,,,
19372,PJNE2100,14.00,,,,,,,
19373,NW020,76.00,,,,,,,
19374,NW036,144.00,,,,,,,
19375,J0112,20.00,,,,,,,
19376,J0345,131.00,,,,,,,
19377,NW027,44.00,,,,,,,
19378,PJNE2199,274.00,,,,,,,
19379,PSET264,167.00,,,,,,,
19380,PJNE3399,14.00,,,,,,,
19381,PJNE1906,71.00,,,,,,,
19382,SET351,232.00,,,,,,,
19383,SET345,563.00,,,,,,,
19384,SET334,271.00,,,,,,,
19385,SET329,80.00,,,,,,,
19386,SET326,324.00,,,,,,,
19387,SET325,55.00,,,,,,,
19388,J0248,69.00,,,,,,,
19389,J0132,28.00,,,,,,,
19390,J0334,92.00,,,,,,,
19391,JNE3376,183.00,,,,,,,
19392,JNE3764,359.00,,,,,,,
19393,J0332,92.00,,,,,,,
19394,J0225,273.00,,,,,,,
